Variable Name,Variable Label,Type,Column Number,Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGravityAcc-mean()-Z,Mean.-.Time.of.Gravity.Acceleration.in.Z.direction,Numeric,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGravityAcc-std()-X,Standard.Deviation.-.Time.of.Gravity.Acceleration.in.X.direction,Numeric,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGravityAcc-std()-Y,Standard.Deviation.-.Time.of.Gravity.Acceleration.in.Y.direction,Numeric,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGravityAcc-std()-Z,Standard.Deviation.-.Time.of.Gravity.Acceleration.in.Z.direction,Numeric,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyAccJerk-mean()-X,Mean.-.Time.of.Body.Acceleration.Jerk.signalin.X.direction,Numeric,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyAccJerk-mean()-Y,Mean.-.Time.of.Body.Acceleration.Jerk.signalin.Y.direction,Numeric,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyAccJerk-mean()-Z,Mean.-.Time.of.Body.Acceleration.Jerk.signalin.Z.direction,Numeric,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyAccJerk-std()-X,Standard.Deviation.-..Time.of.Body.Acceleration.Jerk.signalin.X.direction,Numeric,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyAccJerk-std()-Y,Standard.Deviation.-..Time.of.Body.Acceleration.Jerk.signalin.Y.direction,Numeric,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyAccJerk-std()-Z,Standard.Deviation.-..Time.of.Body.Acceleration.Jerk.signalin.Z.direction,Numeric,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyGyro-mean()-X,Mean.-Time.of.Angular.Velocityin.X.direction,Numeric,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyGyro-mean()-Y,Mean.-Time.of.Angular.Velocityin.Y.direction,Numeric,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyGyro-mean()-Z,Mean.-Time.of.Angular.Velocityin.Z.direction,Numeric,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyGyro-std()-X,Standard.Deviation.-.Time.of.Angular.Velocityin.X.direction,Numeric,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyGyro-std()-Y,Standard.Deviation.-.Time.of.Angular.Velocityin.Y.direction,Numeric,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyGyro-std()-Z,Standard.Deviation.-.Time.of.Angular.Velocityin.Z.direction,Numeric,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyGyroJerk-mean()-X,Mean.-Average.time.of.Body.Angular.Velocityin.X.direction,Numeric,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyGyroJerk-mean()-Y,Mean.-Average.time.of.Body.Angular.Velocityin.Y.direction,Numeric,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyGyroJerk-mean()-Z,Mean.-Average.time.of.Body.Angular.Velocityin.Z.direction,Numeric,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyGyroJerk-std()-X,Standard.Deviation.-.Average.time.of.Body.Angular.Velocityin.X.direction,Numeric,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyGyroJerk-std()-Y,Standard.Deviation.-.Average.time.of.Body.Angular.Velocityin.Y.direction,Numeric,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyGyroJerk-std()-Z,Standard.Deviation.-.Average.time.of.Body.Angular.Velocityin.Z.direction,Numeric,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyAccMag-mean(),Mean.-Time.of.Body.Acceleration.(Euclidean.Norm),Numeric,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyAccMag-std(),Standard.Deviation.-.Time.of.Body.Acceleration.(Euclidean.Norm),Numeric,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGravityAccMag-mean(),Mean.-Time.of.Gravity.Acceleration(Euclidean.Norm),Numeric,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGravityAccMag-std(),Standard.Deviation.-.Time.of.Gravity.Acceleration(Euclidean.Norm),Numeric,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyAccJerkMag-mean(),Mean.-.Time.of.Body.Acceleration.Jerk.signal(Euclidean.Norm),Numeric,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyAccJerkMag-std(),Standard.Deviation.-..Time.of.Body.Acceleration.Jerk.signal(Euclidean.Norm),Numeric,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyGyroMag-mean(),Mean.-Time.of.Angular.Velocity(Euclidean.Norm),Numeric,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyGyroMag-std(),Standard.Deviation.-.Time.of.Angular.Velocity(Euclidean.Norm),Numeric,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyGyroJerkMag-mean(),Mean.-Average.time.of.Body.Angular.Velocity(Euclidean.Norm),Numeric,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyGyroJerkMag-std(),Standard.Deviation.-.Average.time.of.Body.Angular.Velocity(Euclidean.Norm),Numeric,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyAcc-mean()-X,Mean.-.Frecuency.of.Body.Accelerationin.X.direction,Numeric,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyAcc-mean()-Y,Mean.-.Frecuency.of.Body.Accelerationin.Y.direction,Numeric,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyAcc-mean()-Z,Mean.-.Frecuency.of.Body.Accelerationin.Z.direction,Numeric,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyAcc-std()-X,Standard.Deviation.-..Frecuency.of.Body.Accelerationin.X.direction,Numeric,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyAcc-std()-Y,Standard.Deviation.-..Frecuency.of.Body.Accelerationin.Y.direction,Numeric,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyAcc-std()-Z,Standard.Deviation.-..Frecuency.of.Body.Accelerationin.Z.direction,Numeric,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyAccJerk-mean()-X,Mean.-.Frecuency.of.Body.Acceleration.Jerk.signalin.X.direction,Numeric,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyAccJerk-mean()-Y,Mean.-.Frecuency.of.Body.Acceleration.Jerk.signalin.Y.direction,Numeric,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyAccJerk-mean()-Z,Mean.-.Frecuency.of.Body.Acceleration.Jerk.signalin.Z.direction,Numeric,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyAccJerk-std()-X,Standard.Deviation.-..Frecuency.of.Body.Acceleration.Jerk.signalin.X.direction,Numeric,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyAccJerk-std()-Y,Standard.Deviation.-..Frecuency.of.Body.Acceleration.Jerk.signalin.Y.direction,Numeric,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyAccJerk-std()-Z,Standard.Deviation.-..Frecuency.of.Body.Acceleration.Jerk.signalin.Z.direction,Numeric,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyGyro-mean()-X,Mean.-Frecuency.of.Angular.Velocityin.X.direction,Numeric,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyGyro-mean()-Y,Mean.-Frecuency.of.Angular.Velocityin.Y.direction,Numeric,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyGyro-mean()-Z,Mean.-Frecuency.of.Angular.Velocityin.Z.direction,Numeric,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyGyro-std()-X,Standard.Deviation.-.Frecuency.of.Angular.Velocityin.X.direction,Numeric,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyGyro-std()-Y,Standard.Deviation.-.Frecuency.of.Angular.Velocityin.Y.direction,Numeric,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyGyro-std()-Z,Standard.Deviation.-.Frecuency.of.Angular.Velocityin.Z.direction,Numeric,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyAccMag-mean(),Mean.-Frecuency.of.Body.Acceleration.(Euclidean.Norm),Numeric,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyAccMag-std(),Standard.Deviation.-.Frecuency.of.Body.Acceleration.(Euclidean.Norm),Numeric,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyBodyAccJerkMag-mean(),Mean.-.Frecuency.of.Body.Acceleration.Jerk.signal(Euclidean.Norm),Numeric,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyBodyAccJerkMag-std(),Standard.Deviation.-..Frecuency.of.Body.Acceleration.Jerk.signal(Euclidean.Norm),Numeric,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyBodyGyroMag-mean(),Mean.-Frecuency.of.Angular.Velocity(Euclidean.Norm),Numeric,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyBodyGyroMag-std(),Standard.Deviation.-.Frecuency.of.Angular.Velocity(Euclidean.Norm),Numeric,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyBodyGyroJerkMag-mean(),Mean.-Average.frecuency.of.Body.Angular.Velocity(Euclidean.Norm),Numeric,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fBodyBodyGyroJerkMag-std(),Standard.Deviation.-.Average.frecuency.of.Body.Angular.Velocity(Euclidean.Norm),Numeric,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
